X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-75.234035347949956,39.966815493758865,2001,A,2656,Shepard Recreation Center Pool,5700 HAVERFORD AVE,Shepard Recreation Center,,,,Parks and Recreation All,Recreational Resources,Structure,Pool,,Pool,Y,Owned,PPR,PPR,783210300,CITY OF PHILA,,,,,,C,West,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830,
-75.234022706857914,39.966424854886583,2002,A,2657,Shepard Recreation Center Tennis Court,5700 HAVERFORD AVE,Shepard Recreation Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,783210300,CITY OF PHILA,,,,,,C,West,4,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830,
-75.237499006003915,39.946757918513399,2003,A,2658,Sherwood Park Playground Equipment,5601 BALTIMORE AVE,Sherwood Park,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,783030600,CITY OF PHILA,,,,,,C,West,3,,,
-75.145777799332606,39.934688970680668,2004,A,2659,Shot Tower Playground Play Equipment,101-31 CARPENTER ST,Shot Tower Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,781041800,CITY OF PHILA,,,,,,C,South,1,,,
-75.145987482759153,39.935084224097359,2005,A,2660,Shot Tower Playground Athletic Field,101-31 CARPENTER ST,Shot Tower Playground,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,781041800,CITY OF PHILA,,,,,,C,South,1,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=832,
-75.158529035929035,40.060510678992408,2006,A,2661,Simons Youth Access & Teen Center Athletic Field,1601-35 E WALNUT LN,Simons Youth Access & Teen Center,,,,Parks and Recreation All,Recreational Resources,Land,Baseball Field,,Baseball Field,Y,Owned,Public use,PPR,784471550,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,
-75.157835608661159,40.061607144682633,2007,A,2662,Simons Youth Access & Teen Center Tennis Court 1,1601-35 E WALNUT LN,Simons Youth Access & Teen Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,784471550,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,
-75.157752851422842,40.061337084370862,2008,A,2663,Simons Youth Access & Teen Center Tennis Court 2,1601-35 E WALNUT LN,Simons Youth Access & Teen Center,,,,Parks and Recreation All,Recreational Resources,Equipment,Tennis Court,,Tennis Court,Y,Owned,Public use,PPR,784471550,CITY OF PHILA,,,,,,C,Upper North,9,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,
-75.195972003027194,39.981406025547983,2009,A,2671,Smith Memorial Playground Play Equipment,3500 RESERVOIR DR,Smith Memorial Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Lessor,Smith Memorial Playground,Smith Memorial Playground,,,,,,,,C,Lower North,4,,,
-75.187734871131212,39.925741620524832,2010,A,2672,Smith Playground Basketball Court,2100 S 24TH ST,Smith Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,782808100,CITY OF PHILA,,,,,,C,South,2,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836,
